time,w_expl_0,w_expl_1,w_RK2_0,w_RK2_1,exact_solution_0,exact_solution_1
16.750000,-0.784621,-1.300976,-0.498559,-0.867157,-0.504463,-0.863433
16.800000,-0.719572,-1.340207,-0.454578,-0.891001,-0.460679,-0.887567
16.850000,-0.652562,-1.376186,-0.409460,-0.912617,-0.415743,-0.909482
16.900000,-0.583753,-1.408814,-0.363317,-0.931949,-0.369768,-0.929124
16.950000,-0.513312,-1.438002,-0.316266,-0.948950,-0.322869,-0.946444
17.000000,-0.441412,-1.463667,-0.268423,-0.963577,-0.275163,-0.961397
17.050000,-0.368228,-1.485738,-0.219909,-0.975794,-0.226770,-0.973948
17.100000,-0.293941,-1.504149,-0.170844,-0.985569,-0.177809,-0.984065
17.150000,-0.218734,-1.518846,-0.121352,-0.992880,-0.128404,-0.991722
17.200000,-0.142792,-1.529783,-0.071556,-0.997706,-0.078678,-0.996900
17.250000,-0.066303,-1.536923,-0.021582,-1.000037,-0.028756,-0.999586
17.300000,0.010544,-1.540238,0.028447,-0.999866,0.021239,-0.999774
17.350000,0.087555,-1.539711,0.078405,-0.997194,0.071180,-0.997463
17.400000,0.164541,-1.535333,0.128167,-0.992027,0.120944,-0.992659
17.450000,0.241308,-1.527106,0.177608,-0.984378,0.170405,-0.985374
17.500000,0.317663,-1.515040,0.226605,-0.974268,0.219440,-0.975626
17.550000,0.393415,-1.499157,0.275035,-0.961720,0.267927,-0.963439
17.600000,0.468373,-1.479487,0.322777,-0.946766,0.315744,-0.948844
17.650000,0.542347,-1.456068,0.369712,-0.929443,0.362772,-0.931878
17.700000,0.615151,-1.428951,0.415722,-0.909796,0.408893,-0.912582
17.750000,0.686598,-1.398193,0.460692,-0.887873,0.453992,-0.891006
17.800000,0.756508,-1.363863,0.504510,-0.863728,0.497956,-0.867202
17.850000,0.824701,-1.326038,0.547065,-0.837423,0.540676,-0.841231
17.900000,0.891003,-1.284803,0.588253,-0.809023,0.582044,-0.813157
17.950000,0.955243,-1.240253,0.627969,-0.778599,0.621958,-0.783051
